,Date,User,Tweet
21,2019-05-18 07:52:07+00:00,ptk_sp,"#Pressconference 
@narendramodi @BJP4India @AmitShah @Telegraph 
#modipressconference #loksabhaelections2019 #SaturdayMorning #ElectionsWithNews18 #indianpolitics #india #politics #bjp #modi #narendramodi @RahulGandhi #congress #election #indian #delhi #namo #bhfyp #election https://t.co/w1NUrKsdTl"
22,2019-05-18 07:29:25+00:00,WebtechIniesta,"PM Narendra Modi Offers Prayers at Kedarnath Shrine in Uttarakhand, To Visit Badrinath on Sunday..........https://t.co/JIF1KqUtmx
@narendramodi #Kedarnath #UK #Badrinath #Dehradun #LokSabha #Elections2019 #iniesta #india #news #LokSabhaElections2019 https://t.co/0IWYIQoX7u"
23,2019-05-18 07:05:27+00:00,GaonConnection,"जानिए PM Modi के बारे में क्या कहती हैं बनारस की लड़कियां 

Story Link: https://t.co/z8lULsaYOr

#ElectionsWithGC #LokSabhaElections2019 #NarendraModi #Varanasi 
@BJP4India @BJPVaranasi @narendramodi @Manish81Mishra https://t.co/Ts2mAMXBHt"
24,2019-05-18 06:45:42+00:00,ankushh_b,"My take on Modi's Trial Press Conference ,
प्यारे @narendramodi जी ,
जो कल आपने किया उससे प्रैस कॉन्फरेंस नही कह्ते बल्की उसे मुह दिखाई कहते है ।
😂😂
#MuteModi #LokSabhaElections2019 #ModiPressConference #Modi"
25,2019-05-18 06:04:27+00:00,pratikdandge99,"Now a days  #LokSabhaElections2019 be like:

BJP/NDA:
   MODI.......MODI.....MODI.....MODI😎

OPPOSITIONS:
   MODI......MODI.......MODI......MODI

PUBLIC:
     MODI......MODI......MODI....MODI🙌🙏😇😎
         The power of this man @narendramodi is at another level❤️"
26,2019-05-18 06:01:12+00:00,dileepshukla111,#Modi #LokSabhaElections2019 @etvbharatup @myogiadityanath @narendramodi https://t.co/AHztwu0nzJ
27,2019-05-18 05:48:51+00:00,ETVBharatRJ,ETV Bharat के साथ Rahul Gandhi का इक्स्क्लूसिव इंटरव्यू देखें #RGwithETVBharat @RahulGandhi #LoksabhaElections2019  https://t.co/nCb3M4KOZ8 https://t.co/vonunDPlk8
28,2019-05-18 05:29:58+00:00,TheHansIndiaWeb,"PM Narendra Modi set to offer prayers at Kedarnath today 
#NarendraModi #Kedarnath @narendramodi #BJp #loksabhaelections2019 
https://t.co/PR4KQ1VOz8"
29,2019-05-18 05:11:14+00:00,electionfactsin,"PM Narendra Modi in Kedarnath

Prime Minister @narendramodi arrives in #Kedarnath to offer prayers at #Kedarnathtemple
#SaturdayThoughts #LokSabhaElections2019 https://t.co/LHFWkJ5biU"
30,2019-05-18 04:49:07+00:00,OfficialJioTV,"#ElectionAlert – Prime Minister @narendramodi touches down in Kedarnath. This is PM Modi’s 4th visit to the Holy Hindu Shrine. #News18 #ElectionsOnJioTV 🗳#LokSabhaElections2019  

@maryashakil with more details https://t.co/u3oSpq7lqk"
